arquivo,habilidade,temas,nivel_bloom,bloom_divergente,dificuldade,natureza,formato,aprovada,iteracoes,veredicto,garantia,nota_minima_critico,tipos,sem_conferencia
ciclo-021_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,criar,False,media,aplicada,multipla_escolha,True,3,aprovado,conferido,3,propriedade=aprovado; propriedade=aprovado; funcao/zeros=aprovado; funcao/crescimento=aprovado,
ciclo-022_EM13MAT305_descartada.md,EM13MAT305,funcao_logaritmica,criar,False,media,teorica,multipla_escolha,False,3,aprovado,conferido,2,propriedade=aprovado; funcao/valor=aprovado,
ciclo-023_EM13MAT402_aprovada.md,EM13MAT402,funcao_quadratica,aplicar,False,media,aplicada,multipla_escolha,True,2,aprovado,conferido,4,funcao/vertice=aprovado; funcao/zeros=aprovado; funcao/vertice=aprovado; funcao/valor=aprovado,
ciclo-024_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,aplicar,False,media,teorica,multipla_escolha,True,1,aprovado_parcial,conferido_em_parte,4,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/valor=aprovado,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel
ciclo-025_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,aplicar,False,media,aplicada,multipla_escolha,True,1,aprovado,conferido,3,funcao/vertice=aprovado,
ciclo-026_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,aplicar,False,dificil,teorica,multipla_escolha,True,1,aprovado,conferido,3,equacao=aprovado,
ciclo-027_EM13MAT305_aprovada.md,EM13MAT305,funcao_logaritmica,analisar,False,dificil,aplicada,multipla_escolha,True,1,aprovado,conferido,4,funcao/valor=aprovado; funcao/valor=aprovado; equacao=aprovado,
ciclo-028_EM13MAT402_descartada.md,EM13MAT402,funcao_quadratica,entender,False,dificil,teorica,multipla_escolha,False,3,aprovado,conferido,2,equacao=aprovado; funcao/vertice=aprovado,
ciclo-029_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,dificil,aplicada,multipla_escolha,True,1,nao_verificavel,sem_conferencia,3,funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel,funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel
ciclo-030_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,aplicar,False,dificil,teorica,multipla_escolha,True,2,aprovado,conferido,3,funcao/vertice=aprovado,
ciclo-031_EM13MAT303_descartada.md,EM13MAT303,funcao_exponencial,criar,False,facil,teorica,discursiva,False,3,rejeitado,sem_conferencia,,propriedade=rejeitado; propriedade=rejeitado; funcao/valor=aprovado; funcao/valor=rejeitado; funcao/valor=aprovado; funcao/valor=rejeitado,
ciclo-032_EM13MAT306_aprovada.md,EM13MAT306,funcao_trigonometrica,aplicar,False,facil,aplicada,discursiva,True,1,aprovado,conferido,3,funcao/periodo=aprovado; funcao/valor=aprovado; funcao/maximo=aprovado; equacao=aprovado,
ciclo-033_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,analisar,False,facil,teorica,discursiva,True,2,aprovado_parcial,conferido_em_parte,3,funcao/dominio=aprovado; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,funcao/imagem=nao_verificavel
ciclo-034_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,criar,False,facil,aplicada,discursiva,True,1,aprovado,conferido,3,propriedade=aprovado; funcao/crescimento=aprovado,
ciclo-035_EM13MAT507_aprovada.md,EM13MAT507,progressao_aritmetica; funcao_afim,aplicar,False,facil,teorica,discursiva,True,2,aprovado,conferido,3,funcao/valor=aprovado; funcao/dominio=aprovado; propriedade=aprovado; progressao/termo=aprovado,
ciclo-036_EM13MAT306_descartada.md,EM13MAT306,funcao_trigonometrica,analisar,False,media,teorica,discursiva,False,3,rejeitado,sem_conferencia,,funcao/periodo=aprovado; funcao/maximo=aprovado; funcao/minimo=rejeitado; funcao/valor=aprovado; funcao/imagem=aprovado,
ciclo-037_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,analisar,False,media,aplicada,discursiva,True,1,aprovado,conferido,4,funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado,
ciclo-038_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,analisar,False,media,teorica,discursiva,True,1,aprovado,conferido,3,propriedade=aprovado,
ciclo-039_EM13MAT507_aprovada.md,EM13MAT507,progressao_aritmetica; funcao_afim,analisar,False,media,aplicada,discursiva,True,1,aprovado,conferido,3,propriedade=aprovado; funcao/dominio=aprovado; equacao=aprovado; progressao/soma=aprovado,
ciclo-040_EM13MAT303_aprovada.md,EM13MAT303,funcao_exponencial,criar,False,dificil,teorica,discursiva,True,2,aprovado,conferido,4,equacao=aprovado; funcao/crescimento=aprovado; equacao=aprovado; equacao=aprovado,
ciclo-041_EM13MAT306_descartada.md,EM13MAT306,funcao_trigonometrica,aplicar,False,dificil,aplicada,discursiva,False,3,rejeitado,sem_conferencia,,funcao/periodo=aprovado; funcao/maximo=rejeitado; funcao/minimo=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,
ciclo-042_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,analisar,False,dificil,teorica,discursiva,True,2,aprovado_parcial,conferido_em_parte,4,funcao/dominio=aprovado; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,funcao/imagem=nao_verificavel
ciclo-043_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,analisar,False,dificil,aplicada,discursiva,True,1,aprovado,conferido,4,propriedade=aprovado; funcao/valor=aprovado; funcao/crescimento=aprovado,
ciclo-044_EM13MAT507_aprovada.md,EM13MAT507,progressao_aritmetica; funcao_afim,analisar,False,dificil,teorica,discursiva,True,1,aprovado,conferido,4,propriedade=aprovado; funcao/zeros=aprovado; funcao/dominio=aprovado; progressao/soma=aprovado,
ciclo-045_EM13MAT303_descartada.md,EM13MAT303,funcao_exponencial,criar,False,facil,aplicada,multipla_escolha,False,3,rejeitado,sem_conferencia,,propriedade=rejeitado; equacao=aprovado,
ciclo-046_EM13MAT306_descartada.md,EM13MAT306,funcao_trigonometrica,analisar,False,facil,teorica,multipla_escolha,False,3,rejeitado,sem_conferencia,,funcao/periodo=aprovado; funcao/maximo=aprovado; funcao/minimo=rejeitado,
ciclo-047_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,entender,False,facil,aplicada,multipla_escolha,True,1,aprovado_parcial,conferido_em_parte,3,funcao/dominio=aprovado; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado,funcao/imagem=nao_verificavel
ciclo-048_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,criar,False,facil,teorica,multipla_escolha,True,3,aprovado,conferido,3,propriedade=aprovado; funcao/crescimento=aprovado,
ciclo-049_EM13MAT507_descartada.md,EM13MAT507,progressao_aritmetica; funcao_afim,analisar,False,facil,aplicada,multipla_escolha,False,3,aprovado,conferido,2,propriedade=aprovado; equacao=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/dominio=aprovado,
ciclo-050_EM13MAT303_aprovada.md,EM13MAT303,funcao_exponencial,aplicar,False,media,teorica,multipla_escolha,True,1,aprovado,conferido,3,equacao=aprovado; funcao/crescimento=aprovado,
ciclo-051_EM13MAT306_descartada.md,EM13MAT306,funcao_trigonometrica,aplicar,False,media,aplicada,multipla_escolha,False,3,rejeitado,sem_conferencia,,funcao/maximo=aprovado; funcao/minimo=rejeitado; funcao/periodo=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,
ciclo-052_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,entender,False,media,teorica,multipla_escolha,True,2,aprovado_parcial,conferido_em_parte,3,funcao/dominio=aprovado; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado; propriedade=aprovado; propriedade=aprovado,funcao/imagem=nao_verificavel
ciclo-053_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,criar,False,media,aplicada,multipla_escolha,True,3,aprovado,conferido,4,propriedade=aprovado,
ciclo-054_EM13MAT507_aprovada.md,EM13MAT507,progressao_aritmetica; funcao_afim,aplicar,False,media,teorica,multipla_escolha,True,3,aprovado,conferido,4,propriedade=aprovado; funcao/dominio=aprovado; funcao/valor=aprovado; progressao/termo=aprovado,
ciclo-055_EM13MAT303_descartada.md,EM13MAT303,funcao_exponencial,aplicar,False,dificil,aplicada,multipla_escolha,False,3,aprovado,conferido,2,funcao/valor=aprovado; funcao/crescimento=aprovado,
ciclo-056_EM13MAT306_aprovada.md,EM13MAT306,funcao_trigonometrica,aplicar,False,dificil,teorica,multipla_escolha,True,2,aprovado,conferido,4,funcao/periodo=aprovado; funcao/maximo=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; propriedade=aprovado,
ciclo-057_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,analisar,False,dificil,aplicada,multipla_escolha,True,1,aprovado,conferido,4,funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado,
