item,avaliadores,ciclo,habilidade,temas,dificuldade,natureza,formato,nivel_bloom,garantia,aprovada
Q056,5,56,EM13MAT508,progressao_geometrica+funcao_exponencial,media,aplicada,multipla_escolha,aplicar,conferido,True
Q057,2,57,EM13MAT305,funcao_logaritmica,dificil,aplicada,multipla_escolha,analisar,conferido,True
Q058,4,58,EM13MAT503,funcao_quadratica,dificil,teorica,multipla_escolha,aplicar,conferido_em_parte,True
Q061,1,61,EM13MAT508,progressao_geometrica+funcao_exponencial,facil,aplicada,discursiva,aplicar,conferido,True
Q062,3,62,EM13MAT305,funcao_logaritmica,media,aplicada,discursiva,analisar,conferido,True
Q063,3,63,EM13MAT503,funcao_quadratica,media,teorica,discursiva,aplicar,conferido,True
Q064,2,64,EM13MAT303,funcao_exponencial,dificil,teorica,discursiva,criar,conferido,True
Q065,1 2 3 4 5,65,EM13MAT306,funcao_trigonometrica,dificil,aplicada,discursiva,aplicar,conferido,True
Q066,4,66,EM13MAT507,progressao_aritmetica+funcao_afim,dificil,teorica,discursiva,analisar,conferido,True
Q067,3,67,EM13MAT304,funcao_exponencial,facil,teorica,multipla_escolha,analisar,conferido,True
Q068,4,68,EM13MAT402,funcao_quadratica,facil,teorica,multipla_escolha,aplicar,conferido,True
Q069,3,69,EM13MAT508,progressao_geometrica+funcao_exponencial,facil,teorica,multipla_escolha,analisar,conferido,True
Q070,4,70,EM13MAT305,funcao_logaritmica,media,teorica,multipla_escolha,criar,conferido,True
Q071,1,71,EM13MAT503,funcao_quadratica,media,aplicada,multipla_escolha,aplicar,conferido,True
Q072,2,72,EM13MAT303,funcao_exponencial,dificil,aplicada,multipla_escolha,aplicar,conferido,True
Q073,5,73,EM13MAT306,funcao_trigonometrica,dificil,teorica,multipla_escolha,aplicar,conferido,True
Q074,2,74,EM13MAT507,progressao_aritmetica+funcao_afim,dificil,aplicada,multipla_escolha,aplicar,conferido,True
Q075,5,75,EM13MAT305,funcao_logaritmica,facil,teorica,discursiva,criar,conferido,True
Q076,4,76,EM13MAT503,funcao_quadratica,facil,aplicada,discursiva,analisar,conferido,True
Q077,1,77,EM13MAT303,funcao_exponencial,media,aplicada,discursiva,criar,conferido,True
Q078,5,78,EM13MAT306,funcao_trigonometrica,media,teorica,discursiva,analisar,conferido,True
Q079,4,79,EM13MAT507,progressao_aritmetica+funcao_afim,media,aplicada,discursiva,analisar,conferido,True
Q080,4,80,EM13MAT304,funcao_exponencial,dificil,aplicada,discursiva,analisar,conferido,True
Q081,3,81,EM13MAT402,funcao_quadratica,dificil,aplicada,discursiva,aplicar,conferido,True
Q082,3,82,EM13MAT508,progressao_geometrica+funcao_exponencial,dificil,aplicada,discursiva,aplicar,conferido,True
Q084,5,84,EM13MAT503,funcao_quadratica,facil,teorica,multipla_escolha,analisar,conferido,True
Q085,1,85,EM13MAT303,funcao_exponencial,media,teorica,multipla_escolha,aplicar,conferido,True
Q086,1,86,EM13MAT306,funcao_trigonometrica,media,aplicada,multipla_escolha,aplicar,conferido,True
Q087,1 2 3 4 5,87,EM13MAT507,progressao_aritmetica+funcao_afim,media,teorica,multipla_escolha,aplicar,conferido,True
Q088,5,88,EM13MAT304,funcao_exponencial,dificil,teorica,multipla_escolha,aplicar,conferido,True
Q089,4,89,EM13MAT402,funcao_quadratica,dificil,teorica,multipla_escolha,entender,conferido,True
Q090,2,90,EM13MAT508,progressao_geometrica+funcao_exponencial,dificil,teorica,multipla_escolha,aplicar,conferido,True
