item,tem_erro,onde,decisao,por_que
Q067,,,,
Q069,,,,
Q015,,,,
Q081,,,,
Q046,,,,
Q044,,,,
Q029,,,,
Q033,,,,
Q065,,,,
Q082,,,,
Q024,,,,
Q087,,,,
Q028,,,,
Q063,,,,
Q010,,,,
Q038,,,,
Q011,,,,
Q062,,,,
Q007,,,,
Q034,,,,
Q031,,,,
Q027,,,,
