item,tem_erro,onde,decisao,por_que
Q006,,,,
Q068,,,,
Q030,,,,
Q019,,,,
Q024,,,,
Q015,,,,
Q041,,,,
Q070,,,,
Q058,,,,
Q007,,,,
Q066,,,,
Q087,,,,
Q065,,,,
Q023,,,,
Q089,,,,
Q018,,,,
Q079,,,,
Q076,,,,
Q080,,,,
Q050,,,,
Q036,,,,
Q034,,,,
