item,tem_erro,onde,decisao,por_que
Q035,,,,
Q009,,,,
Q008,,,,
Q032,,,,
Q021,,,,
Q065,,,,
Q087,,,,
Q024,,,,
Q057,,,,
Q034,,,,
Q072,,,,
Q048,,,,
Q090,,,,
Q015,,,,
Q001,,,,
Q064,,,,
Q013,,,,
Q074,,,,
Q005,,,,
Q016,,,,
Q055,,,,
Q007,,,,
